price_stress_pct,available_proceeds_usd,coverage_ratio,status,required_proceeds_usd,covenant_headroom_usd,top_up_required_usdc,repayment_required_usd,max_coverage_compliant_commitment_usd,rounded_coverage_compliant_commitment_usd
0.02,3870600.00,1.2690,PASS,3812500.00,58100.00,0.00,0.00,3046480.00,3000000.00
0.05,3751500.00,1.2300,CALL_REQUIRED,3812500.00,-61000.00,64695.74,48800.00,2951200.00,2900000.00
0.10,3553000.00,1.1649,CALL_REQUIRED,3812500.00,-259500.00,290512.17,207600.00,2792400.00,2700000.00
0.20,3156000.00,1.0348,CALL_REQUIRED,3812500.00,-656500.00,826826.20,525200.00,2474800.00,2400000.00
0.30,2759000.00,0.9046,CALL_REQUIRED,3812500.00,-1053500.00,1516372.80,842800.00,2157200.00,2100000.00
0.40,2362000.00,0.7744,CALL_REQUIRED,3812500.00,-1450500.00,2435768.26,1160400.00,1839600.00,1800000.00
0.50,1965000.00,0.6443,CALL_REQUIRED,3812500.00,-1847500.00,3722921.91,1478000.00,1522000.00,1500000.00
